extension,mime_type
pyc,application/x-bytecode.python
dwg,application/acad
ez,application/andrew-inset
aw,application/applixware
arj,application/arj
atom,application/atom+xml
xml,application/atom+xml
atomcat,application/atomcat+xml
atomsvc,application/atomsvc+xml
mm,application/base64
mme,application/base64
hqx,application/binhex
hqx,application/binhex4
boo,application/book
book,application/book
ccxml,application/ccxml+xml
cdf,application/cdf
cdmia,application/cdmi-capability
cdmic,application/cdmi-container
cdmid,application/cdmi-domain
cdmio,application/cdmi-object
cdmiq,application/cdmi-queue
ccad,application/clariscad
dp,application/commonground
cu,application/cu-seeme
csm,application/cu-seeme
davmount,application/davmount+xml
dbk,application/docbook+xml
drw,application/drafting
tsp,application/dsptype
dssc,application/dssc+der
xdssc,application/dssc+xml
dxf,application/dxf
es,application/ecmascript
ecma,application/ecmascript
js,application/ecmascript
emma,application/emma+xml
evy,application/envoy
epub,application/epub+zip
xl,application/excel
xla,application/excel
xlb,application/excel
xlc,application/excel
xld,application/excel
xlk,application/excel
xll,application/excel
xlm,application/excel
xls,application/excel
xlt,application/excel
xlv,application/excel
xlw,application/excel
exi,application/exi
pfr,application/font-tdpfr
woff,application/font-woff
fif,application/fractals
frl,application/freeloader
spl,application/futuresplash
gml,application/gml+xml
tgz,application/gnutar
gpx,application/gpx+xml
vew,application/groupwise
gxf,application/gxf
hlp,application/hlp
hta,application/hta
stk,application/hyperstudio
unv,application/i-deas
iges,application/iges
igs,application/iges
inf,application/inf
ink,application/inkml+xml
inkml,application/inkml+xml
acx,application/internet-property-stream
ipfix,application/ipfix
class,application/java
jar,application/java-archive
class,application/java-byte-code
ser,application/java-serialized-object
class,application/java-vm
js,application/javascript
json,application/json
jsonml,application/jsonml+json
lha,application/lha
lostxml,application/lost+xml
lzx,application/lzx
bin,application/mac-binary
hqx,application/mac-binhex
hqx,application/mac-binhex40
cpt,application/mac-compactpro
bin,application/macbinary
mads,application/mads+xml
mrc,application/marc
mrcx,application/marcxml+xml
ma,application/mathematica
nb,application/mathematica
mb,application/mathematica
mathml,application/mathml+xml
mbd,application/mbedlet
mbox,application/mbox
mcd,application/mcad
mscml,application/mediaservercontrol+xml
metalink,application/metalink+xml
meta4,application/metalink4+xml
mets,application/mets+xml
aps,application/mime
mods,application/mods+xml
m21,application/mp21
mp21,application/mp21
mp4,application/mp4
m4p,application/mp4
mp4s,application/mp4
mdb,application/msaccess
one,application/msonenote
onetoc2,application/msonenote
onetmp,application/msonenote
onepkg,application/msonenote
pot,application/mspowerpoint
pps,application/mspowerpoint
ppt,application/mspowerpoint
ppz,application/mspowerpoint
doc,application/msword
dot,application/msword
w6w,application/msword
wiz,application/msword
word,application/msword
wri,application/mswrite
mxf,application/mxf
mcp,application/netmc
bin,application/octet-stream
dms,application/octet-stream
lrf,application/octet-stream
mar,application/octet-stream
so,application/octet-stream
dist,application/octet-stream
distz,application/octet-stream
pkg,application/octet-stream
bpk,application/octet-stream
dump,application/octet-stream
elc,application/octet-stream
a,application/octet-stream
arc,application/octet-stream
arj,application/octet-stream
com,application/octet-stream
exe,application/octet-stream
lha,application/octet-stream
lhx,application/octet-stream
lzh,application/octet-stream
lzx,application/octet-stream
o,application/octet-stream
psd,application/octet-stream
saveme,application/octet-stream
uu,application/octet-stream
zoo,application/octet-stream
class,application/octet-stream
buffer,application/octet-stream
deploy,application/octet-stream
hqx,application/octet-stream
obj,application/octet-stream
lib,application/octet-stream
zip,application/octet-stream
gz,application/octet-stream
dmg,application/octet-stream
iso,application/octet-stream
oda,application/oda
opf,application/oebps-package+xml
ogx,application/ogg
ogg,application/ogg
axs,application/olescript
omdoc,application/omdoc+xml
onetoc,application/onenote
onetoc2,application/onenote
onetmp,application/onenote
onepkg,application/onenote
oxps,application/oxps
xer,application/patch-ops-error+xml
pdf,application/pdf
pgp,application/pgp-encrypted
key,application/pgp-keys
asc,application/pgp-signature
pgp,application/pgp-signature
sig,application/pgp-signature
prf,application/pics-rules
p12,application/pkcs-12
crl,application/pkcs-crl
p10,application/pkcs10
p7m,application/pkcs7-mime
p7c,application/pkcs7-mime
p7s,application/pkcs7-signature
p8,application/pkcs8
ac,application/pkix-attr-cert
cer,application/pkix-cert
crt,application/pkix-cert
crl,application/pkix-crl
pkipath,application/pkix-pkipath
pki,application/pkixcmp
text,application/plain
pls,application/pls+xml
ai,application/postscript
eps,application/postscript
ps,application/postscript
ppt,application/powerpoint
part,application/pro_eng
prt,application/pro_eng
cww,application/prs.cww
pskcxml,application/pskc+xml
rar,application/rar
rdf,application/rdf+xml
rif,application/reginfo+xml
rnc,application/relax-ng-compact-syntax
rl,application/resource-lists+xml
rld,application/resource-lists-diff+xml
rng,application/ringing-tones
rs,application/rls-services+xml
gbr,application/rpki-ghostbusters
mft,application/rpki-manifest
roa,application/rpki-roa
rsd,application/rsd+xml
rss,application/rss+xml
xml,application/rss+xml
rtf,application/rtf
rtx,application/rtf
sbml,application/sbml+xml
scq,application/scvp-cv-request
scs,application/scvp-cv-response
spq,application/scvp-vp-request
spp,application/scvp-vp-response
sdp,application/sdp
sea,application/sea
set,application/set
setpay,application/set-payment-initiation
setreg,application/set-registration-initiation
shf,application/shf+xml
stl,application/sla
smi,application/smil
smil,application/smil
smi,application/smil+xml
smil,application/smil+xml
sol,application/solids
sdr,application/sounder
rq,application/sparql-query
srx,application/sparql-results+xml
gram,application/srgs
grxml,application/srgs+xml
sru,application/sru+xml
ssdl,application/ssdl+xml
ssml,application/ssml+xml
step,application/step
stp,application/step
ssm,application/streamingmedia
tei,application/tei+xml
teicorpus,application/tei+xml
tfi,application/thraud+xml
tsd,application/timestamped-data
tbk,application/toolbook
vda,application/vda
plb,application/vnd.3gpp.pic-bw-large
psb,application/vnd.3gpp.pic-bw-small
pvb,application/vnd.3gpp.pic-bw-var
tcap,application/vnd.3gpp2.tcap
pwn,application/vnd.3m.post-it-notes
aso,application/vnd.accpac.simply.aso
imp,application/vnd.accpac.simply.imp
acu,application/vnd.acucobol
atc,application/vnd.acucorp
acutc,application/vnd.acucorp
air,application/vnd.adobe.air-application-installer-package+zip
fcdt,application/vnd.adobe.formscentral.fcdt
fxp,application/vnd.adobe.fxp
fxpl,application/vnd.adobe.fxp
xdp,application/vnd.adobe.xdp+xml
xfdf,application/vnd.adobe.xfdf
ahead,application/vnd.ahead.space
azf,application/vnd.airzip.filesecure.azf
azs,application/vnd.airzip.filesecure.azs
azw,application/vnd.amazon.ebook
acc,application/vnd.americandynamics.acc
ami,application/vnd.amiga.ami
apk,application/vnd.android.package-archive
cii,application/vnd.anser-web-certificate-issue-initiation
fti,application/vnd.anser-web-funds-transfer-initiation
atx,application/vnd.antix.game-component
mpkg,application/vnd.apple.installer+xml
m3u8,application/vnd.apple.mpegurl
swi,application/vnd.arastra.swi
swi,application/vnd.aristanetworks.swi
iota,application/vnd.astraea-software.iota
aep,application/vnd.audiograph
mpm,application/vnd.blueice.multipass
bmi,application/vnd.bmi
rep,application/vnd.businessobjects
cdxml,application/vnd.chemdraw+xml
mmd,application/vnd.chipnuts.karaoke-mmd
cdy,application/vnd.cinderella
cla,application/vnd.claymore
rp9,application/vnd.cloanto.rp9
c4g,application/vnd.clonk.c4group
c4d,application/vnd.clonk.c4group
c4f,application/vnd.clonk.c4group
c4p,application/vnd.clonk.c4group
c4u,application/vnd.clonk.c4group
c11amc,application/vnd.cluetrust.cartomobile-config
c11amz,application/vnd.cluetrust.cartomobile-config-pkg
csp,application/vnd.commonspace
cdbcmsg,application/vnd.contact.cmsg
cmc,application/vnd.cosmocaller
clkx,application/vnd.crick.clicker
clkk,application/vnd.crick.clicker.keyboard
clkp,application/vnd.crick.clicker.palette
clkt,application/vnd.crick.clicker.template
clkw,application/vnd.crick.clicker.wordbank
wbs,application/vnd.criticaltools.wbs+xml
pml,application/vnd.ctc-posml
ppd,application/vnd.cups-ppd
car,application/vnd.curl.car
pcurl,application/vnd.curl.pcurl
dart,application/vnd.dart
rdz,application/vnd.data-vision.rdz
uvf,application/vnd.dece.data
